country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Seychelles,2015 - 2019,95665.2,267.2,8.4,0.2790521431161749,0.00490893385536386
Sierra Leone,2015 - 2019,7678872.0,111.2,-544.6,0.0021340836011946793,-0.0069208527786766005
Singapore,2015 - 2019,5619356.6,37851.0,-3936.8,0.6736730385194564,-0.07806454049279506
Sint Maarten (Dutch part),2015 - 2019,40374.2,625.2,-72.2,1.5618321871829477,-0.21860887174385005
Slovak Republic,2015 - 2019,5438949.8,3398.2,464.0,0.0624712818543775,0.0084818724466484
Slovenia,2015 - 2019,2071448.0,7612.8,1530.4,0.36754381434319683,0.07330910030367302
Solomon Islands,2015 - 2019,643727.6,-1603.0,0.0,-0.24931065262861818,0.0061713425526562
Somalia,2015 - 2019,14862673.6,46761.0,8398.0,0.3129408620773678,0.05102506513427355
South Africa,2015 - 2019,56873335.4,-36358.6,-53629.2,-0.06257789316039286,-0.09846954770677963
South Sudan,2015 - 2019,10752325.0,-356733.8,94732.4,-3.301296553741613,0.8450906621027047
Spain,2015 - 2019,46690944.2,210726.2,110762.2,0.4494566740098147,0.23555644990905839
Sri Lanka,2015 - 2019,21548400.8,-97617.8,582.0,-0.4530937292682514,0.00504985273189942
St. Kitts and Nevis,2015 - 2019,47767.2,-191.0,0.0,-0.39985612084712663,-0.00012900261782598487
St. Lucia,2015 - 2019,177134.0,0.0,0.0,0.0,0.0
St. Martin (French part),2015 - 2019,34260.0,-903.4,-16.8,-2.647058467495232,-0.08242329223495518
St. Vincent and the Grenadines,2015 - 2019,105639.8,-1000.4,107.4,-0.9459422643623301,0.09776978039525905
Sudan,2015 - 2019,40691865.4,76194.2,-22900.4,0.1901851025548215,-0.05959416033431177
Suriname,2015 - 2019,587700.6,-698.6,234.0,-0.11976402876561813,0.040712038156048555
Sweden,2015 - 2019,10046814.0,80299.2,1183.0,0.7992630654412574,0.00265965503092258
Switzerland,2015 - 2019,8439436.6,54355.6,-6866.8,0.6459558054904591,-0.08865282917444614
Syrian Arab Republic,2015 - 2019,19316903.4,-48135.4,391650.0,-0.2826934703363041,1.9505573315055975
Tajikistan,2015 - 2019,8928008.2,-13084.4,2948.2,-0.1482086235285482,0.03727798979131058
Tanzania,2015 - 2019,56234935.8,61121.8,-8748.0,0.11724416471796742,-0.013355873669735858
Thailand,2015 - 2019,70847040.2,33282.6,-10321.8,0.047097844409417985,-0.01477395150085436
Timor-Leste,2015 - 2019,1243178.6,-5406.6,-735.8,-0.4352543278219603,-0.05546571119504971
Togo,2015 - 2019,7855430.2,-1992.8,-2.4,-0.0253968721840468,0.00060175634379882
Tonga,2015 - 2019,105469.0,-2145.6,125.2,-2.033633515847865,0.11173789597283104
Trinidad and Tobago,2015 - 2019,1486555.6,3402.8,-3689.8,0.22877957659864126,-0.24225498800920606
Tunisia,2015 - 2019,11807448.8,-22409.2,1396.4,-0.19007829461193793,0.01398480572067908
Turkiye,2015 - 2019,81809277.2,-3012.2,-184297.0,0.0015324715150751623,-0.23234337314086942
Turkmenistan,2015 - 2019,5965372.2,-9614.0,-0.6,-0.1612508171915063,0.00271936657687372
Turks and Caicos Islands,2015 - 2019,39839.0,1432.2,70.6,3.618471047942896,0.05592302524135236
Tuvalu,2015 - 2019,10875.6,-119.6,19.0,-1.1009377620505765,0.17487209805616385
Uganda,2015 - 2019,40163443.0,64361.2,39898.8,0.1558606263753642,0.10071887964324863
Ukraine,2015 - 2019,44799713.0,-33560.4,11571.0,-0.07480046307764125,0.025489872034449725
United Arab Emirates,2015 - 2019,9066256.8,-10723.4,2097.6,-0.11872486889234757,0.02415167301074968
United Kingdom,2015 - 2019,66016668.4,238385.6,-8042.0,0.3612916572885596,-0.014737243571593377
United States,2015 - 2019,324820205.8,1281618.0,-18494.0,0.39470478243057616,-0.00801253062781868
Uruguay,2015 - 2019,3418847.0,-3323.4,402.4,-0.09724675286336057,0.01204780869578028
Uzbekistan,2015 - 2019,32414370.0,-46722.6,-9803.0,-0.1429040572504593,-0.02807864322013926
Vanuatu,2015 - 2019,290319.4,-473.8,76.4,-0.16458410100697313,0.03168590387019006
"Venezuela, RB",2015 - 2019,30126389.8,-702346.0,-182804.6,-2.3540446627709612,-0.6327206531837738
Vietnam,2015 - 2019,94008404.2,-4029.6,169.4,-0.00429302684653504,0.00022753990511292
Virgin Islands (U.S.),2015 - 2019,107235.8,-508.6,58.0,-0.4741110975111543,0.052796906838857315
West Bank and Gaza,2015 - 2019,4469275.6,-24200.8,467.8,-0.5414670301533634,0.024161220978117258
"Yemen, Rep.",2015 - 2019,30032428.0,-39436.6,-1944.2,-0.13143203582558508,-0.0035591489088705208
Zambia,2015 - 2019,17306083.0,17974.8,287.8,0.10390559003249358,-0.0014636258543425404
Zimbabwe,2015 - 2019,14753106.8,-59918.0,0.0,-0.40647419043608357,0.00844263587896682
